City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gangtok,27.3333,88.6167,19.81,98,100,1.01,IN,1691550650
1,longyearbyen,78.2186,15.6401,6.91,87,0,1.54,SJ,1691550650
2,brokopondo,4.75,-55.1667,25.93,84,91,3.46,SR,1691550642
3,adamstown,-25.066,-130.1015,22.23,85,95,15.43,PN,1691550650
4,punta arenas,-53.15,-70.9167,1.27,94,45,4.01,CL,1691550025
5,waitangi,-43.9535,-176.5597,9.34,82,100,1.79,NZ,1691550650
6,talnakh,69.4865,88.3972,21.23,45,77,0.26,RU,1691550650
7,whitehorse,60.7161,-135.0538,16.12,90,100,2.14,CA,1691550635
8,praia da vitoria,38.7333,-27.0667,23.75,94,99,7.89,PT,1691550632
9,tual,-5.6667,132.75,25.57,81,24,8.74,ID,1691550400
10,ghadamis,30.1337,9.5007,26.4,37,0,4.1,LY,1691550650
11,anadyr,64.75,177.4833,11.28,87,100,6.71,RU,1691550397
12,thompson,55.7435,-97.8558,12.5,72,96,3.52,CA,1691550642
13,nueva gerona,21.8833,-82.8,30.45,68,50,1.74,CU,1691550650
14,olonkinbyen,70.9221,-8.7187,5.01,91,100,10.73,SJ,1691550651
15,midvagur,62.0511,-7.1939,8.46,76,75,11.32,FO,1691550651
16,yellowknife,62.456,-114.3525,17.23,50,22,5.2,CA,1691550596
17,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,46,40,2.0,RU,1691550651
18,darwin,-12.4611,130.8418,31.05,26,0,7.72,AU,1691550463
19,ornskoldsvik,63.2909,18.7153,15.53,88,75,8.75,SE,1691550651
20,ushuaia,-54.8,-68.3,-1.4,96,48,2.03,AR,1691550630
21,tolanaro,-25.0319,46.9987,18.22,93,46,3.25,MG,1691550651
22,remire-montjoly,4.9167,-52.2667,25.02,94,20,0.51,GF,1691550651
23,okhotsk,59.3833,143.3,18.18,48,1,2.86,RU,1691550641
24,port-aux-francais,-49.35,70.2167,1.65,72,45,6.0,TF,1691550651
25,hermanus,-34.4187,19.2345,11.56,84,0,6.24,ZA,1691550652
26,laguna,38.421,-121.4238,27.56,53,0,4.12,US,1691550371
27,ivdel',60.6911,60.4206,19.18,72,88,2.28,RU,1691550652
28,blackmans bay,-43.0167,147.3167,13.18,57,100,3.45,AU,1691550652
29,avarua,-21.2078,-159.775,24.03,60,20,4.63,CK,1691550652
30,nemuro,43.3236,145.575,19.44,99,100,7.13,JP,1691550652
31,shenjiamen,29.9576,122.298,28.1,78,0,7.09,CN,1691550652
32,reggane,26.7158,0.1714,36.14,16,0,9.35,DZ,1691550652
33,brezina,33.0989,1.2608,27.68,20,0,2.35,DZ,1691550498
34,gamba,-2.65,10.0,20.29,93,21,2.12,GA,1691550652
35,kodiak,57.79,-152.4072,13.73,88,100,2.06,US,1691550652
36,marquette,46.5333,-87.6335,18.76,81,3,1.88,US,1691550652
37,udachny,66.4167,112.4,26.36,31,6,8.01,RU,1691550653
38,new norfolk,-42.7826,147.0587,13.84,44,100,1.75,AU,1691550375
39,bethel,41.3712,-73.414,21.94,77,37,1.34,US,1691550653
40,puerto ayora,-0.7393,-90.3518,24.19,89,88,3.13,EC,1691550653
41,shingu,33.7333,135.9833,27.69,93,63,3.26,JP,1691550494
42,temiskaming shores,47.4938,-79.7153,15.28,85,4,1.52,CA,1691550653
43,kangaba,11.9333,-8.4167,21.97,93,100,1.47,ML,1691550653
44,bredasdorp,-34.5322,20.0403,8.48,90,0,2.45,ZA,1691550653
45,ketchikan,55.3422,-131.6461,15.03,94,100,1.47,US,1691550653
46,hami,42.8,93.45,29.42,33,99,4.39,CN,1691550647
47,lihue,21.9789,-159.3672,32.58,71,75,11.32,US,1691550630
48,pathein,16.7833,94.7333,26.64,84,100,5.96,MM,1691550493
49,albany,42.6001,-73.9662,20.45,86,97,2.24,US,1691550389
50,hinthada,17.6333,95.4667,25.21,92,100,2.67,MM,1691550653
51,custodia,-8.0875,-37.6431,18.97,93,76,2.29,BR,1691550654
52,abu jibeha,11.4562,31.2285,21.36,91,100,1.67,SD,1691550555
53,ilulissat,69.2167,-51.1,5.01,81,20,1.54,GL,1691550654
54,vilyuchinsk,52.9306,158.4028,23.15,54,69,2.16,RU,1691550654
55,itaituba,-4.2761,-55.9836,25.4,63,29,0.87,BR,1691550654
56,grytviken,-54.2811,-36.5092,-1.85,91,31,4.6,GS,1691550654
57,san patricio,28.017,-97.5169,30.1,77,0,6.75,US,1691550358
58,hotan,37.0997,79.9269,29.61,30,48,3.61,CN,1691550432
59,namibe,-15.1961,12.1522,16.84,89,1,3.08,AO,1691550654
60,portland,45.5234,-122.6762,28.64,47,15,1.34,US,1691550012
61,gao,16.6362,1.637,29.65,54,100,5.45,ML,1691550654
62,zheleznogorsk-ilimskiy,56.5768,104.1217,22.54,72,100,0.55,RU,1691550654
63,northam,51.0333,-4.2167,15.14,96,100,2.38,GB,1691550654
64,mbanza kongo,-6.267,14.2401,18.23,86,16,1.88,AO,1691550654
65,novodvinsk,64.4165,40.8122,14.94,83,5,2.24,RU,1691550655
66,bardai,11.65,7.2333,20.59,96,75,3.64,NG,1691550655
67,chonchi,-42.6128,-73.8092,10.07,99,100,3.18,CL,1691550655
68,pontian kechil,1.4866,103.3896,33.01,77,78,2.64,MY,1691550655
69,knyaze-volkonskoye,48.4642,135.4567,25.16,57,75,3.34,RU,1691550655
70,wailua homesteads,22.0669,-159.378,32.24,77,75,11.32,US,1691550655
71,hawaiian paradise park,19.5933,-154.9731,27.73,78,40,4.12,US,1691550655
72,kailua-kona,19.6406,-155.9956,29.98,75,40,7.72,US,1691550655
73,al jabin,14.704,43.599,19.03,37,54,0.85,YE,1691550655
74,sao joao da barra,-21.6403,-41.0511,21.35,87,26,5.39,BR,1691550655
75,puerto baquerizo moreno,-0.9,-89.6,23.43,79,98,5.35,EC,1691550655
76,atafu village,-8.5421,-172.5159,28.07,78,64,6.55,TK,1691550655
77,port lincoln,-34.7333,135.8667,19.6,41,10,11.31,AU,1691550656
78,ribeira grande,38.5167,-28.7,24.32,94,92,10.73,PT,1691550631
79,kuybyshev,55.4475,78.3218,21.32,53,27,1.61,RU,1691550656
80,revda,56.801,59.9303,16.63,90,1,2.05,RU,1691550656
81,puerto aysen,-45.4,-72.7,5.67,100,100,0.88,CL,1691550656
82,mangai,-4.05,19.5333,21.75,84,83,0.94,CD,1691550656
83,edinburgh of the seven seas,-37.0676,-12.3116,12.29,71,100,11.32,SH,1691550656
84,college,64.8569,-147.8028,19.21,82,100,2.06,US,1691550656
85,puerto natales,-51.7236,-72.4875,2.26,95,100,1.91,CL,1691550656
86,utrik,11.2278,169.8474,28.47,77,96,5.04,MH,1691550656
87,mozarlandia,-14.7447,-50.5706,25.56,28,0,0.74,BR,1691550656
88,saldanha,-33.0117,17.9442,10.44,81,0,4.42,ZA,1691550656
89,jobabo,20.9692,-76.2994,28.01,90,27,4.96,CU,1691550657
90,hamilton,39.1834,-84.5333,23.18,80,0,2.06,US,1691550657
91,haiku-pauwela,20.9219,-156.3051,28.01,61,20,11.83,US,1691550653
92,iqaluit,63.7506,-68.5145,4.83,86,32,4.02,CA,1691550657
93,castillos,-34.1667,-53.8333,12.09,69,98,4.44,UY,1691550653
94,cooper's town,26.8667,-77.5167,30.14,69,7,3.89,BS,1691550657
95,stanley,54.868,-1.6985,10.71,85,0,3.09,GB,1691550214
96,isafjordur,66.0755,-23.124,9.56,62,14,1.77,IS,1691550657
97,invercargill,-46.4,168.35,7.23,72,92,4.47,NZ,1691550657
98,vacha,55.8008,42.7706,17.18,73,1,3.53,RU,1691550657
99,santa luzia,-19.7697,-43.8514,18.5,87,0,2.37,BR,1691550657
100,rawson,-43.3002,-65.1023,13.86,41,100,4.59,AR,1691550505
101,charcas,23.1333,-101.1167,20.52,56,0,5.59,MX,1691550657
102,grand falls-windsor,48.9332,-55.6649,10.28,91,92,1.2,CA,1691550658
103,adigrat,14.277,39.462,14.27,76,43,1.53,ET,1691550658
104,kavaratti,10.5669,72.642,28.04,75,100,7.83,IN,1691550658
105,rehti,22.7333,77.4333,24.87,85,100,3.8,IN,1691550539
106,tangalle,6.024,80.7911,28.09,72,100,5.59,LK,1691550658
107,petrovsk,52.3064,45.3917,20.88,50,50,3.1,RU,1691550658
108,nago,26.5881,127.9761,29.24,88,100,7.39,JP,1691550658
109,st. john's,47.5649,-52.7093,13.21,90,100,2.24,CA,1691550658
110,puerto gaitan,4.3133,-72.0816,26.33,76,72,0.92,CO,1691550658
111,kalmunai,7.4167,81.8167,29.05,64,100,1.83,LK,1691550444
112,west island,-12.1568,96.8225,26.99,69,91,4.63,CC,1691550658
113,usinsk,65.9939,57.5281,13.76,65,95,2.24,RU,1691550658
114,tazacorte,28.629,-17.9293,21.54,75,0,2.24,ES,1691550658
115,bilibino,68.0546,166.4372,6.52,70,100,3.04,RU,1691550658
116,zhanga buqtyrma,49.6295,83.5248,16.64,85,100,1.3,KZ,1691550659
117,karasuk,53.7377,78.0403,23.79,44,28,2.96,RU,1691550659
118,acarau,-2.8856,-40.12,25.6,84,99,7.56,BR,1691550659
119,irkutsk,52.2978,104.2964,18.43,100,75,1.0,RU,1691550659
120,padang,-0.9492,100.3543,29.03,70,61,1.16,ID,1691550420
121,tuy hoa,13.0833,109.3,33.97,49,85,5.55,VN,1691550659
122,kupino,54.3663,77.2981,21.58,50,29,3.35,RU,1691550659
123,papatowai,-46.5619,169.4708,5.69,70,92,6.97,NZ,1691550659
124,chui,-33.6971,-53.4616,13.37,73,100,5.45,UY,1691550659
125,nicoya,10.1483,-85.452,24.83,93,100,0.44,CR,1691550659
126,jamestown,42.097,-79.2353,20.77,94,0,3.09,US,1691550375
127,mytilene,39.11,26.5547,23.9,64,0,7.2,GR,1691550659
128,juneau,58.3019,-134.4197,16.0,100,75,3.6,US,1691550501
129,tsetserleg,47.475,101.4542,20.0,62,100,0.66,MN,1691550659
130,paola,39.3599,16.0396,20.59,71,0,0.9,IT,1691550660
131,port mathurin,-19.6833,63.4167,22.27,61,95,8.2,MU,1691550660
132,akureyri,65.6835,-18.0878,7.04,66,41,2.65,IS,1691550403
133,st. paul,44.9444,-93.0933,24.52,64,0,1.54,US,1691550598
134,undurkhaan,47.3194,110.6556,22.36,50,86,1.48,MN,1691550660
135,le port,-20.9373,55.2919,20.98,78,0,3.04,RE,1691550660
136,saint-pierre,-21.3393,55.4781,19.82,60,0,3.6,RE,1691550455
137,talcahuano,-36.7167,-73.1167,10.82,100,100,4.12,CL,1691550660
138,point pedro,9.8167,80.2333,28.54,77,100,6.22,LK,1691550660
139,labrador city,52.9463,-66.9114,11.95,87,100,2.57,CA,1691550374
140,badger,64.8,-147.5333,19.17,81,100,2.06,US,1691550660
141,isangel,-19.55,169.2667,21.91,61,47,7.22,VU,1691550468
142,keelung,25.1283,121.7419,33.94,63,5,1.64,TW,1691550660
143,inirida,3.8653,-67.9239,23.22,98,97,1.34,CO,1691550661
144,novyy urgal,51.0736,132.5642,19.46,66,100,2.68,RU,1691550661
145,ouani,-12.1322,44.4258,24.21,77,20,6.52,KM,1691550661
146,al muwayh,22.4333,41.7583,25.17,18,12,1.02,SA,1691550661
147,sterlitamak,53.6246,55.9502,17.13,78,25,3.13,RU,1691550661
148,bambanglipuro,-7.95,110.2833,27.25,62,6,6.09,ID,1691550661
149,iskateley,67.6803,53.1512,14.48,59,23,1.66,RU,1691550661
150,lompoc,34.6391,-120.4579,21.08,84,100,1.54,US,1691550661
151,ust-nera,64.5667,143.2,19.41,47,83,1.45,RU,1691550661
152,zhangye,38.9342,100.4517,33.64,20,12,8.54,CN,1691550661
153,zabol,32.25,67.25,26.24,15,0,2.71,AF,1691550662
154,baardheere,2.3446,42.2764,22.72,83,92,5.3,SO,1691550662
155,acajutla,13.5928,-89.8275,27.71,82,43,0.44,SV,1691550662
156,orchard homes,46.8633,-114.0484,23.0,54,0,2.57,US,1691550662
157,sitka,57.0531,-135.33,15.94,82,100,4.63,US,1691550440
158,yarkovo,57.4028,67.0786,20.13,60,19,2.25,RU,1691550662
159,happy valley-goose bay,53.3168,-60.3315,11.06,86,100,1.17,CA,1691550662
160,el granada,37.5027,-122.4694,22.19,85,100,5.14,US,1691550662
161,gisborne,-38.6533,178.0042,11.38,53,15,3.44,NZ,1691550662
162,chusovoy,58.3013,57.8131,17.81,85,5,1.47,RU,1691550662
163,punta gorda,26.9298,-82.0454,32.22,81,0,1.54,US,1691550385
164,ulsteinvik,62.3432,5.8487,14.31,85,100,5.36,NO,1691550459
165,tinaquillo,9.9186,-68.3047,22.22,97,76,0.49,VE,1691550662
166,nova sintra,14.8667,-24.7167,22.74,73,29,4.87,CV,1691550663
167,pico truncado,-46.7949,-67.9573,8.71,52,100,8.51,AR,1691550663
168,flin flon,54.7682,-101.865,11.0,79,90,1.46,CA,1691550663
169,tver,56.8619,35.8931,14.78,92,12,2.02,RU,1691550663
170,puerto san jose,13.9256,-90.8244,27.81,81,89,1.15,GT,1691550663
171,minas de marcona,-15.2119,-75.1103,12.6,87,39,4.7,PE,1691550663
172,weno,7.4515,151.8468,29.97,79,100,3.6,FM,1691550663
173,klyuchi,52.2667,79.1667,23.29,39,48,1.07,RU,1691550664
